HUD_ID,PROJECT,PROJ_ADD,PROJ_CTY,PROJ_ST,PROJ_ZIP,LATITUDE,LONGITUDE,N_UNITS,LI_UNITS,YR_PIS,NONPROG,
"DEA20000015","THE PARKVIEW","1800 NORTH BROOM STREET","WILMINGTON",DE,"19809",39.759761810302,-75.55014801025,200,0,2000,,
"DEA20000030","NEW HOPE HOUSING II","134 S NEW STREET","DOVER",DE,"19904",39.158306121826,-75.52880096435,18,18,2000,,
"DEA20000040","SAVANNAH EAST","3700 SAVANNAH EAST SQUARE","LEWES",DE,"19958",38.746829986572,-75.15383911132,72,72,2000,,
"DEA20000045","VILLAS II AT DELMAR CROSSING","600 MAGNOLIA DRIVE","DELMAR",DE,"19940",38.458885192871,-75.56077575683,24,24,2000,,
"DEA20000050","WEST STREET MANOR ANNEX","700 MADISON AVENUE","HARRINGTON",DE,"19952",38.924613952636,-75.58353424072,28,28,2000,,
"DEA20009001","CHEER APARTMENTS","1121 CLARK DRIVE","GEORGETOWN",DE,"19947",38.701690673828,-75.36852264404,60,0,2000,,
"DEA20010002","GREENTREE VILLAGE APTS","1000 CEDARTREE LN","CLAYMONT",DE,"19703",39.814704895019,-75.46181488037,286,229,2001,1,
"DEA20010010","LUTHER GARDENS ANNEX","1500 LUTHER CIRCLE","MILTON",DE,"19968",38.785163879394,-75.31246185302,18,18,2001,,
"DEA20010015","MILLS LANDING","2500 SAVANNAH WEST SQUARE","LEWES",DE,"19958",38.745750427246,-75.15737915039,24,24,2001,,
"DEA20010017","OWENS MANOR","426 SOUTH NEW STREET","DOVER",DE,"19901",39.154720306396,-75.52738952636,60,60,2001,,
"DEA20010020","QUAKER VILLAGE APARTMENTS","225 WEST 4TH STREET","WILMINGTON",DE,"19805",39.741180419921,-75.55269622802,44,0,2001,,
"DEA20010030","SHADY GROVE III","ROUTE 2 BOX 76","SELBYVILLE",DE,"19975",38.473701477050,-75.15029907226,20,0,2001,,
"DEA20010035","WINDSOR APARTMENTS","500 N. WALNUT STREET","WILMINGTON",DE,"19801",39.740509033203,-75.54755401611,169,0,2001,,
"DEA20010040","YORKTOWNE WOODS","101 INDEPENDENCE DRIVE","SEAFORD",DE,"19973",38.655239105224,-75.60763549804,35,35,2001,,
"DEA20010055","NEWARK COMMONS","200 VININGS WAY","NEWARK",DE,"19702",39.643402099609,-75.71657562255,220,0,2001,,
"DEA20019003","LUTHER GARDENS","1500 LUTHER CIRCLE","MILTON",DE,"19968",38.785163879394,-75.31246185302,36,0,2001,,
"DEA20020005","CLEARFIELD APTS","125 HAMAN DR","DOVER",DE,"19904",39.135917663574,-75.54180908203,95,95,2002,,
"DEA20020010","CYNWYD APARTMENTS","1302-2 CYNWYD CLUB DRIVE","WILMINGTON",DE,"19808",39.732833862304,-75.66576385498,131,130,2002,,
"DEA20030005","FARRAND VILLAGE","16 DEVILLE CIRCLE","WILMINGTON",DE,"19808",39.730972290039,-75.64984130859,165,159,2003,,
"DEA20030010","HARBOUR TOWNE","34232 WOODS EDGE DRIVE","LEWES",DE,"19958",38.747512817382,-75.15509033203,40,40,2003,,
"DEA20030015","LONG NECK APARTMENTS","25927 RIVER BEND ROAD, #600","MILLSBORO",DE,"19966",38.633239746093,-75.19226837158,60,60,2003,,
"DEA20030020","MARSHALL MANOR","109 MARSHALL LANE","MILFORD",DE,"19963",38.911701202392,-75.42115020751,36,36,2003,,
"DEA20030025","RODNEY COURT","1100 PENNSYLVANIA AVENUE","WILMINGTON",DE,"19806",39.752780914306,-75.55703735351,51,50,2003,,
"DEA20030030","LINGO CREEK APARTMENTS","32890 SHOPPES AT LONG NECK RT. 24","MILLSBORO",DE,"19966",38.639099121093,-75.24859619140,72,72,2003,,
"DEA20030035","COMPTON TOWNE HOUSE APARTMENTS","831-A TOWNE COURT","WILMINGTON",DE,"19801",39.741649627685,-75.54418182373,76,0,2003,,
"DEA20030040","RIVER COMMONS","200 NORTH POPLAR STREET","WILMINGTON",DE,"19801",39.737071990966,-75.54823303222,116,92,2003,,
"DEA20040005","CENTRAL YMCA","501 W. 11TH STREET","WILMINGTON",DE,"19801",39.748218536377,-75.55110168457,180,144,2004,,
"DEA20040010","ELIZABETH CORNISH LANDING ANNEX","400 ELIZABETH CORNISH LANDING","BRIDGEVILLE",DE,"19933",38.740188598632,-75.59491729736,12,12,2004,,
"DEA20040035","SHIPS TAVERN MEWS","201 N MARKET ST","WILMINGTON",DE,"19801",39.738838195800,-75.55260467529,86,37,2004,1,
"DEA20040045","CHRISTIANA VILLAGE","WALNUT, MADISON, MONROE STREET","WILMINGTON",DE,"19801",39.746601104736,-75.54830169677,77,0,2004,,
"DEA20040055","GEORGETOWN PRESERVATION APARTMENTS","200 INGRAMTOWN ROAD","GEORGETOWN",DE,"19947",38.693012237548,-75.37571716308,76,0,2004,,
"DEA20040060","VILLAGE OF EASTLAKE","2412 THATCHER STREET","WILMINGTON",DE,"19801",39.748970031738,-75.53016662597,71,0,2004,,
"DEA20040800","WEST COURT APARTMENTS","3201- 3209 LANCASTER AVENUE & 3200-3208 W. 2ND STREET","WILMINGTON",DE,"19805",39.751937866210,-75.58667755126,79,75,2004,,
"DEA20050010","COUNTRY MEADOWS","1004 FULLER PLACE","DELMAR",DE,"19940",38.460174560546,-75.57276916503,24,24,2005,1,
"DEA20050015","LITTLE CREEK APARTMENTS","701 LITTLE CREEK DRIVE","LAUREL",DE,"19956",38.555885314941,-75.58463287353,72,0,2005,,
"DEA20050020","OVERLOOK COLONY","3207 BRANDYWINE AVE","CLAYMONT",DE,"19703",39.800060272216,-75.46290588378,35,35,2005,,
"DEA20050025","SPENCER PRESERVATION APARTMENTS","37 FAIRHAVEN COURT","NEW CASTLE",DE,"19720",39.652980804443,-75.63202667236,73,72,2005,,
"DEA20060005","CHANDLER HEIGHTS","1-B CHANDLER HEIGHTS","SEAFORD",DE,"19973",38.649642944335,-75.60307312011,88,0,2006,,
"DEA20060010","MADISON GARDENS","239 GARDEN COURT","WILMINGTON",DE,"19801",39.742183685302,-75.55847930908,18,0,2006,,
"DEA20060015","WEST QUAKER HILL APARTMENTS","226D N. WEST STREET","WILMINGTON",DE,"19801",39.740520477294,-75.55504608154,53,0,2006,,
"DEA20060020","OLD LANDING APARTMENTS II","29320 WHITE STREET #400","MILLSBORO",DE,"19966",38.585399627685,-75.28439331054,30,30,2006,,
"DEA20060800","VICTORIA MEWS","12A O'DANIEL AVENUE","NEWARK",DE,"19711",39.673088073730,-75.76956939697,103,0,2006,,
"DEA20060801","SEAFORD MEADOWS PRESERVATION APARTMENTS","122 SEAFORD MEADOWS","SEAFORD",DE,"19973",38.654411315918,-75.60047149658,121,117,2006,,
"DEA20070010","COLONY SOUTH","250 WILLIAMSBURG DRIVE","MILFORD",DE,"19963",38.948902130127,-75.42929077148,78,0,2007,,
"DEA20070035","ARBOR PLACE I - PRESERVATION","229 PARMA AVENUE","NEW CASTLE",DE,"19720",39.705486297607,-75.55695343017,43,43,2007,,
"DEA20078002","BRIGHTWAY COMMONS I","200 TULL WAY","MILFORD",DE,"19963",38.923061370849,-75.43230438232,80,0,2007,,
"DEA20079005","WEST CENTER PLACE","622 N JEFFERSON STREET","WILMINGTON",DE,"19801",39.744083404541,-75.55505371093,56,0,2007,,
"DEA20080010","MIDDLETOWN TRACE APARTMENTS","67 NEW STREET","MIDDLETOWN",DE,"19709",39.452785491943,-75.70808410644,66,63,2008,,
"DEA20080020","CAPITOL GREEN","416 SUSSEX AVENUE","DOVER",DE,"19901",39.154762268066,-75.5166015625,132,0,2008,,
"DEA20080025","HURDS CROSSING","94 HURDS BLVD.","FELTON",DE,"19943",39.015724182128,-75.57656097412,36,0,2008,,
"DEA20088010","COMPTON PARK APARTMENTS","650 N. WALNUT STREET","WILMINGTON",DE,"19801",39.741321563720,-75.54697418212,55,0,2008,,
"DEA20090015","CLAYTON COURT","502 N. DUPONT STREET","WILMINGTON",DE,"19805",39.748538970947,-75.56867980957,72,72,2009,,
"DEA20090020","BRIGHTWAYS COMMONS II","200 TULL WAY","MILFORD",DE,"19963",38.923061370849,-75.43230438232,44,0,2009,,
"DEA20090035","HOLLYBROOK FARMS I","900 CNTY RD","LAUREL",DE,"",,,100,100,2009,,
"DEA20090040","HOLLYBROOK FARMS II","500 COUNTRY RD","LAUREL",DE,"",,,24,24,2009,,
"DEA20096001","BETHEL VILLA","506 EAST 5TH STREET","WILMINGTON",DE,"19801",39.738853454589,-75.54559326171,150,0,2009,,
"DEA20096004","HOLLYBROOK FARMS (I, III, IV)","1600 HOLLYBROOK APARTMENTS","LAUREL",DE,"19956",38.580799102783,-75.60160064697,100,0,2009,,
"DEA20096005","HOLLYBROOK II APARTMENTS","1111 GRAZING COURT","LAUREL",DE,"19956",38.569850921630,-75.57122039794,24,0,2009,,
"DEA20100020","MILLSBORO VILLAGE","210 THOMAS TAYLOR DR","MILLSBORO",DE,"19966",38.587436676025,-75.28792572021,50,50,2010,,
"DEA20100025","SHIPLEY LOFTS","701 SHIPLEY STREET","WILMINGTON",DE,"19801",39.742935180664,-75.55049133300,23,0,2010,1,
"DEA20105001","MARCELLA'S / JUDY'S HOUSE","901-903 WASHINGTON STREET","WILMINGTON",DE,"19801",39.746376037597,-75.55257415771,31,0,2010,,
"DEA20105002","MARROWS COURT PRESERVATION","100-A WITHERSPOON LANE","NEWARK",DE,"19713",39.673656463623,-75.72930908203,50,0,2010,,
"DEA20105003","MILLSBORO VILLAGE I","210 THOMAS TAYLOR DRIVE","MILLSBORO",DE,"19966",38.587436676025,-75.28792572021,50,0,2010,,
"DEA20105004","SEAFORD APARTMENTS","600 GRAYSON COURT","SEAFORD",DE,"19973",38.676200866699,-75.62940216064,37,0,2010,,
"DEA20110005","ARBOR PLACE, PHASE III","229 PARMA AVENUE","NEW CASTLE",DE,"19720",39.705486297607,-75.55695343017,23,0,2011,,
"DEA20110801","WEST CENTER VILLAGE","606 N. JEFFERSON ST.","WILMINGTON",DE,"19801",39.743968963623,-75.55513000488,55,55,2011,,
"DEA20114002","CANTERBURY APARTMENTS","304 CANTERBURY LANE","BRIDGEVILLE",DE,"19933",38.740978240966,-75.59361267089,24,0,2011,,
"DEA20114003","CHELTENHAM VILLAGE","FREEDOM ROAD","NEWARK",DE,"19702",39.626201629638,-75.72419738769,100,0,2011,,
